repository_name,language
pkl-package-docs,Kotlin
pkl-pantry,Pkl
pkl-project-commons,Pkl
pkl-spring,Java
pkl-swift,Swift
pkl-swift-examples,Swift
pkl-vscode,TypeScript
pkl.tmbundle,Pkl
pytorch-speech-features,Python
rules_pkl,Starlark
sample-backyard-birds,Swift
sample-cloudkit-coredatasync,Swift
sample-cloudkit-encryption,Swift
sample-cloudkit-privatedb,Swift
sample-cloudkit-privatedb-sync,Swift
sample-cloudkit-queries,Swift
sample-cloudkit-sharing,Swift
sample-cloudkit-sync-engine,Swift
sample-cloudkit-tooling,JavaScript
sample-cloudkit-zonesharing,Swift
sample-fbounds-safety-adoption,HTML
sample-food-truck,Swift
security-pcc,Swift
servicetalk,Java
speakstream-demo,HTML
swift-3-api-guidelines-review,Swift
swift-algorithms,Swift
swift-argument-parser,Swift
swift-asn1,Swift
swift-async-algorithms,Swift
swift-async-dns-resolver,Swift
swift-atomics,Swift
swift-binary-parsing,Swift
swift-cassandra-client,Swift
swift-certificates,Swift
swift-clang,C++
swift-clang-tools-extra,C++
swift-cluster-membership,Swift
swift-collections,Swift
swift-collections-benchmark,Swift
swift-compiler-rt,C
swift-configuration,Swift
swift-container-plugin,Swift
swift-crypto,Assembly
swift-distributed-actors,Swift
swift-distributed-tracing,Swift
swift-distributed-tracing-baggage-core,Swift
swift-distributed-tracing-extras,Swift
swift-evolution-staging,Swift
swift-homomorphic-encryption,Swift
swift-homomorphic-encryption-protobuf,
swift-http-structured-headers,Swift
swift-http-types,Swift
swift-internals,HTML
swift-issues,
swift-libcxx,C++
swift-llbuild2,Swift
swift-lldb,C++
swift-llvm,LLVM
swift-log,Swift
swift-metrics,Swift
swift-metrics-extras,Swift
swift-mmio,Swift
swift-nio,Swift
swift-nio-examples,Swift
swift-nio-extras,Swift
swift-nio-http2,Swift
swift-nio-imap,Swift
swift-nio-nghttp2-support,Swift
swift-nio-oblivious-http,Swift
swift-nio-ssh,Swift
swift-nio-ssl,Assembly
swift-nio-ssl-support,Swift
swift-nio-transport-services,Swift
swift-nio-zlib-support,Swift
swift-ntp,Swift
swift-numerics,Swift
swift-openapi-generator,Swift
swift-openapi-runtime,Swift
swift-openapi-urlsession,Swift
swift-play-experimental,Swift
swift-profile-recorder,Swift
swift-protobuf,Swift
swift-protobuf-plugin,
swift-protobuf-test-conformance,
swift-sample-distributed-actors-transport,Swift
swift-service-context,Swift
swift-service-discovery,Swift
swift-standard-library-preview,Swift
swift-statsd-client,Swift
swift-string-processing-benchmarks,Swift
swift-system,Swift
swift-temporal-sdk,Swift
swift-tools-support-async,Swift
swift-xcode-playground-support,Swift
swiftpm-on-llbuild2,Swift
SwiftUsd,C++
SwiftUsd-ast-answerer,C++
SwiftUsd-Tests,Swift
tensor-visualizer,Svelte
tensorflow_macos,Shell
ToolSandbox,Python
tree-sitter-pkl,Kotlin
turicreate,C++
unityplugins,C#
VideoFlashingReduction,Mathematica
visatronic-demo,HTML
vqg-multimodal-assistant,Python
